
time,ax,ay,az,wx,wy,wz
0.051491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.052301,-0.7628,-0.2134,-1.4801,0.0000,0.0000,0.0000
0.053043,-0.7628,-0.2134,-1.4801,0.0000,0.0000,0.0000
0.053696,-0.7628,-0.2134,-1.4801,0.6065,0.4320,0.0568
0.054295,-0.6978,-0.2390,-1.6529,0.6065,0.4320,0.0568
0.054881,-0.6978,-0.2390,-1.6529,0.6065,0.4320,0.0568
0.055289,-0.6978,-0.2390,-1.6529,0.6053,0.4333,0.0591
0.055848,-0.6139,-0.2596,-1.7888,0.6053,0.4333,0.0591
0.056563,-0.6139,-0.2596,-1.7888,0.6053,0.4333,0.0591
0.057007,-0.6139,-0.2596,-1.7888,0.6003,0.4356,0.0616
0.057616,-0.5322,-0.2990,-1.9357,0.6003,0.4356,0.0616
0.058259,-0.5322,-0.2990,-1.9357,0.6003,0.4356,0.0616
0.058657,-0.5322,-0.2990,-1.9357,0.5918,0.4368,0.0616
0.059201,-0.4986,-0.2983,-2.0636,0.5918,0.4368,0.0616
0.059883,-0.4986,-0.2983,-2.0636,0.5918,0.4368,0.0616
0.060298,-0.4986,-0.2983,-2.0636,0.5808,0.4430,0.0616
0.060817,-0.4719,-0.3062,-2.1707,0.5808,0.4430,0.0616
0.061374,-0.4719,-0.3062,-2.1707,0.5808,0.4430,0.0616
0.061890,-0.4719,-0.3062,-2.1707,0.5661,0.4466,0.0604
0.062425,-0.4821,-0.3049,-2.2646,0.5661,0.4466,0.0604
0.063051,-0.4821,-0.3049,-2.2646,0.5661,0.4466,0.0604
0.063500,-0.4821,-0.3049,-2.2646,0.5490,0.4516,0.0591
0.063960,-0.4145,-0.3382,-2.3618,0.5490,0.4516,0.0591
0.064576,-0.4145,-0.3382,-2.3618,0.5490,0.4516,0.0591
0.064986,-0.4145,-0.3382,-2.3618,0.5295,0.4516,0.0568
0.065535,-0.4026,-0.3381,-2.4021,0.5295,0.4516,0.0568
0.066166,-0.4026,-0.3381,-2.4021,0.5295,0.4516,0.0568
0.066577,-0.4026,-0.3381,-2.4021,0.5100,0.4516,0.0556
0.067061,-0.3500,-0.3595,-2.4705,0.5100,0.4516,0.0556
0.067674,-0.3500,-0.3595,-2.4705,0.5100,0.4516,0.0556
0.068063,-0.3500,-0.3595,-2.4705,0.4892,0.4491,0.0543
0.068608,-0.2894,-0.4084,-2.5010,0.4892,0.4491,0.0543
0.069159,-0.2894,-0.4084,-2.5010,0.4892,0.4491,0.0543
0.069630,-0.2894,-0.4084,-2.5010,0.4672,0.4455,0.0531
0.070218,-0.2248,-0.4098,-2.5287,0.4672,0.4455,0.0531
0.070817,-0.2248,-0.4098,-2.5287,0.4672,0.4455,0.0531
0.071236,-0.2248,-0.4098,-2.5287,0.4440,0.4405,0.0506
0.071755,-0.1724,-0.4627,-2.5526,0.4440,0.4405,0.0506
0.072376,-0.1724,-0.4627,-2.5526,0.4440,0.4405,0.0506
0.072786,-0.1724,-0.4627,-2.5526,0.4232,0.4381,0.0470
0.073379,-0.0912,-0.4550,-2.5737,0.4232,0.4381,0.0470
0.074021,-0.0912,-0.4550,-2.5737,0.4232,0.4381,0.0470
0.074442,-0.0912,-0.4550,-2.5737,0.4037,0.4381,0.0396
0.074907,-0.0369,-0.4421,-2.5908,0.4037,0.4381,0.0396
0.075459,-0.0369,-0.4421,-2.5908,0.4037,0.4381,0.0396
0.075854,-0.0369,-0.4421,-2.5908,0.3865,0.4418,0.0323
0.076324,0.0394,-0.4386,-2.5710,0.3865,0.4418,0.0323
0.076878,0.0394,-0.4386,-2.5710,0.3865,0.4418,0.0323
0.077270,0.0394,-0.4386,-2.5710,0.3695,0.4478,0.0250
0.077949,0.0849,-0.4667,-2.5934,0.3695,0.4478,0.0250
0.078650,0.0849,-0.4667,-2.5934,0.3695,0.4478,0.0250
0.079071,0.0849,-0.4667,-2.5934,0.3535,0.4577,0.0188
0.079602,0.1667,-0.4666,-2.5738,0.3535,0.4577,0.0188
0.080155,0.1667,-0.4666,-2.5738,0.3535,0.4577,0.0188
0.080575,0.1667,-0.4666,-2.5738,0.3402,0.4711,0.0115
0.081119,0.1977,-0.5100,-2.5224,0.3402,0.4711,0.0115
0.081755,0.1977,-0.5100,-2.5224,0.3402,0.4711,0.0115
0.082160,0.1977,-0.5100,-2.5224,0.3304,0.4833,0.0030
0.082624,0.2162,-0.5561,-2.4619,0.3304,0.4833,0.0030
0.082981,0.2162,-0.5561,-2.4619,0.3304,0.4833,0.0030
0.083199,0.2162,-0.5561,-2.4619,0.3255,0.4956,-0.0092
0.083460,0.2309,-0.5910,-2.4103,0.3255,0.4956,-0.0092
0.083832,0.2309,-0.5910,-2.4103,0.3255,0.4956,-0.0092
0.084049,0.2309,-0.5910,-2.4103,0.3205,0.5103,-0.0165
0.084304,0.2400,-0.6338,-2.2998,0.3205,0.5103,-0.0165
0.084642,0.2400,-0.6338,-2.2998,0.3205,0.5103,-0.0165
0.084878,0.2400,-0.6338,-2.2998,0.3182,0.5273,-0.0252
0.085113,0.2205,-0.6795,-2.2211,0.3182,0.5273,-0.0252
0.085476,0.2205,-0.6795,-2.2211,0.3182,0.5273,-0.0252
0.085707,0.2205,-0.6795,-2.2211,0.3205,0.5420,-0.0373
0.085977,0.1865,-0.7381,-2.1615,0.3205,0.5420,-0.0373
0.086294,0.1865,-0.7381,-2.1615,0.3205,0.5420,-0.0373
0.086509,0.1865,-0.7381,-2.1615,0.3242,0.5518,-0.0495
0.086811,0.1678,-0.7758,-2.1306,0.3242,0.5518,-0.0495
0.087161,0.1678,-0.7758,-2.1306,0.3242,0.5518,-0.0495
0.087429,0.1678,-0.7758,-2.1306,0.3255,0.5591,-0.0642
0.087710,0.1643,-0.7733,-2.1017,0.3255,0.5591,-0.0642
0.088071,0.1643,-0.7733,-2.1017,0.3255,0.5591,-0.0642
0.088318,0.1643,-0.7733,-2.1017,0.3304,0.5640,-0.0764
0.088587,0.1530,-0.7969,-2.1248,0.3304,0.5640,-0.0764
0.089107,0.1530,-0.7969,-2.1248,0.3304,0.5640,-0.0764
0.089334,0.1530,-0.7969,-2.1248,0.3327,0.5628,-0.0910
0.090317,0.1799,-0.7955,-2.1589,0.3327,0.5628,-0.0910
0.090826,0.1799,-0.7955,-2.1589,0.3327,0.5628,-0.0910
0.091161,0.1799,-0.7955,-2.1589,0.3340,0.5616,-0.1045
0.091583,0.1808,-0.8310,-2.2109,0.3340,0.5616,-0.1045
0.091996,0.1808,-0.8310,-2.2109,0.3340,0.5616,-0.1045
0.092309,0.1808,-0.8310,-2.2109,0.3304,0.5591,-0.1180
0.092632,0.1578,-0.8873,-2.2678,0.3304,0.5591,-0.1180
0.093065,0.1578,-0.8873,-2.2678,0.3304,0.5591,-0.1180
0.093397,0.1578,-0.8873,-2.2678,0.3267,0.5541,-0.1326
0.093854,0.1587,-0.9106,-2.3499,0.3267,0.5541,-0.1326
0.094277,0.1587,-0.9106,-2.3499,0.3267,0.5541,-0.1326
0.094597,0.1587,-0.9106,-2.3499,0.3205,0.5505,-0.1435
0.095003,0.1597,-0.9096,-2.4210,0.3205,0.5505,-0.1435
0.095451,0.1597,-0.9096,-2.4210,0.3205,0.5505,-0.1435
0.095778,0.1597,-0.9096,-2.4210,0.3120,0.5444,-0.1546
0.096185,0.1726,-0.9105,-2.4522,0.3120,0.5444,-0.1546
0.096630,0.1726,-0.9105,-2.4522,0.3120,0.5444,-0.1546
0.096964,0.1726,-0.9105,-2.4522,0.3047,0.5383,-0.1668
0.097626,0.2334,-0.8990,-2.4644,0.3047,0.5383,-0.1668
0.098114,0.2334,-0.8990,-2.4644,0.3047,0.5383,-0.1668
0.098449,0.2334,-0.8990,-2.4644,0.2925,0.5310,-0.1778
0.098889,0.3250,-0.8813,-2.4907,0.2925,0.5310,-0.1778
0.099370,0.3250,-0.8813,-2.4907,0.2925,0.5310,-0.1778
0.099708,0.3250,-0.8813,-2.4907,0.2815,0.5236,-0.1900
0.100142,0.3257,-0.8664,-2.4722,0.2815,0.5236,-0.1900
0.100602,0.3257,-0.8664,-2.4722,0.2815,0.5236,-0.1900
0.100920,0.3257,-0.8664,-2.4722,0.2729,0.5138,-0.2035
0.101305,0.3692,-0.8691,-2.4768,0.2729,0.5138,-0.2035
0.112759,0.3692,-0.8691,-2.4768,0.2729,0.5138,-0.2035
0.113092,0.3692,-0.8691,-2.4768,0.2644,0.5028,-0.2181
0.113602,0.3865,-0.8906,-2.4634,0.2644,0.5028,-0.2181
0.114022,0.3865,-0.8906,-2.4634,0.2644,0.5028,-0.2181
0.114314,0.3865,-0.8906,-2.4634,0.2570,0.4931,-0.2303
0.114691,0.3559,-0.8848,-2.4390,0.2570,0.4931,-0.2303
0.115078,0.3559,-0.8848,-2.4390,0.2570,0.4931,-0.2303
0.115352,0.3559,-0.8848,-2.4390,0.2522,0.4821,-0.2426
0.115744,0.3370,-0.8799,-2.4669,0.2522,0.4821,-0.2426
0.116157,0.3370,-0.8799,-2.4669,0.2522,0.4821,-0.2426
0.116564,0.3370,-0.8799,-2.4669,0.2497,0.4723,-0.2511
0.116978,0.2511,-0.8880,-2.4786,0.2497,0.4723,-0.2511
0.117384,0.2511,-0.8880,-2.4786,0.2497,0.4723,-0.2511
0.117732,0.2511,-0.8880,-2.4786,0.2485,0.4686,-0.2597
0.118061,0.1452,-0.8658,-2.5225,0.2485,0.4686,-0.2597
0.118471,0.1452,-0.8658,-2.5225,0.2485,0.4686,-0.2597
0.118756,0.1452,-0.8658,-2.5225,0.2472,0.4723,-0.2670
0.119091,0.0455,-0.8557,-2.5572,0.2472,0.4723,-0.2670
0.119461,0.0455,-0.8557,-2.5572,0.2472,0.4723,-0.2670
0.119732,0.0455,-0.8557,-2.5572,0.2472,0.4845,-0.2694
0.120122,-0.0428,-0.8066,-2.5960,0.2472,0.4845,-0.2694
0.120509,-0.0428,-0.8066,-2.5960,0.2472,0.4845,-0.2694
0.120743,-0.0428,-0.8066,-2.5960,0.2485,0.5053,-0.2694
0.121057,-0.1088,-0.7884,-2.6125,0.2485,0.5053,-0.2694
0.121394,-0.1088,-0.7884,-2.6125,0.2485,0.5053,-0.2694
0.121683,-0.1088,-0.7884,-2.6125,0.2497,0.5298,-0.2658
0.122028,-0.1740,-0.8003,-2.6349,0.2497,0.5298,-0.2658
0.124257,-0.1740,-0.8003,-2.6349,0.2497,0.5298,-0.2658
0.124535,-0.1740,-0.8003,-2.6349,0.2522,0.5591,-0.2596
0.125236,-0.1769,-0.7824,-2.6151,0.2522,0.5591,-0.2596
0.126031,-0.1769,-0.7824,-2.6151,0.2522,0.5591,-0.2596
0.126487,-0.1769,-0.7824,-2.6151,0.2582,0.5921,-0.2535
0.127116,-0.1740,-0.8225,-2.5961,0.2582,0.5921,-0.2535
0.129401,-0.1740,-0.8225,-2.5961,0.2582,0.5921,-0.2535
