
time,ax,ay,az,wx,wy,wz
0.001,0.22,0.00,0.25,-0.06,-0.07,0.04
0.001,0.22,0.00,0.25,-0.06,-0.07,0.04
0.001,0.14,0.02,0.18,-0.06,-0.07,0.04
0.002,0.05,0.04,0.02,-0.06,-0.07,0.04
0.002,0.05,0.04,0.02,-0.05,-0.04,0.04
0.005,0.05,0.04,0.02,-0.04,-0.02,0.04
0.005,-0.04,0.07,-0.08,-0.04,-0.02,0.04
0.005,-0.04,0.07,-0.08,-0.04,0.01,0.04
0.007,-0.04,0.07,-0.08,-0.03,0.03,0.04
0.007,-0.12,0.08,-0.08,-0.03,0.03,0.04
0.01,-0.12,0.08,-0.08,-0.02,0.05,0.04
0.01,-0.15,0.03,-0.03,-0.02,0.05,0.04
0.01,-0.15,0.03,-0.03,-0.02,0.06,0.04
0.014,-0.15,0.03,-0.03,-0.01,0.07,0.04
0.014,-0.17,0.03,0.07,-0.01,0.07,0.04
0.014,-0.17,0.03,0.07,-0.00,0.07,0.04
0.019,-0.10,-0.06,0.11,-0.00,0.07,0.04
0.019,-0.10,-0.06,0.11,0.01,0.08,0.04
0.022,-0.10,-0.06,0.11,0.01,0.08,0.04
0.022,-0.10,-0.06,0.11,0.02,0.09,0.03
0.022,0.01,-0.13,0.15,0.02,0.09,0.03
0.027,0.01,-0.13,0.15,0.02,0.09,0.03
0.027,0.12,-0.15,0.13,0.02,0.09,0.03
0.03,0.12,-0.15,0.13,0.03,0.10,0.03
0.03,0.15,-0.19,0.13,0.03,0.10,0.03
0.031,0.15,-0.19,0.13,0.03,0.11,0.03
0.034,0.15,-0.19,0.13,0.04,0.12,0.03
0.034,0.15,-0.19,0.13,0.04,0.14,0.03
0.034,0.13,-0.16,0.01,0.04,0.14,0.03
0.039,0.09,-0.14,-0.05,0.04,0.14,0.03
0.039,0.09,-0.14,-0.05,0.04,0.16,0.03
0.043,0.09,-0.14,-0.05,0.03,0.17,0.03
0.043,0.08,-0.05,-0.08,0.03,0.17,0.03
