
time,ax,ay,az,wx,wy,wz
0.040743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.041052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.041346,-0.2943,-0.1383,-1.3176,0.0000,0.0000,0.0000
0.041653,-0.2943,-0.1383,-1.3176,0.0000,0.0000,0.0000
0.041888,-0.2943,-0.1383,-1.3176,0.1264,0.3948,-0.1459
0.042113,-0.3221,-0.1532,-1.3471,0.1264,0.3948,-0.1459
0.042399,-0.3221,-0.1532,-1.3471,0.1264,0.3948,-0.1459
0.042614,-0.3221,-0.1532,-1.3471,0.1116,0.3948,-0.1459
0.042850,-0.3790,-0.1319,-1.4678,0.1116,0.3948,-0.1459
0.043073,-0.3790,-0.1319,-1.4678,0.1116,0.3948,-0.1459
0.043293,-0.3790,-0.1319,-1.4678,0.0958,0.3960,-0.1446
0.043539,-0.4029,-0.1581,-1.5005,0.0958,0.3960,-0.1446
0.043765,-0.4029,-0.1581,-1.5005,0.0958,0.3960,-0.1446
0.044036,-0.4029,-0.1581,-1.5005,0.0763,0.3972,-0.1446
0.044266,-0.3994,-0.1416,-1.5434,0.0763,0.3972,-0.1446
0.044493,-0.3994,-0.1416,-1.5434,0.0763,0.3972,-0.1446
0.044704,-0.3994,-0.1416,-1.5434,0.0604,0.3985,-0.1422
0.044911,-0.4295,-0.1425,-1.5775,0.0604,0.3985,-0.1422
0.045135,-0.4295,-0.1425,-1.5775,0.0604,0.3985,-0.1422
0.045347,-0.4295,-0.1425,-1.5775,0.0433,0.4033,-0.1397
0.045552,-0.4432,-0.1265,-1.6096,0.0433,0.4033,-0.1397
0.045776,-0.4432,-0.1265,-1.6096,0.0433,0.4033,-0.1397
0.046026,-0.4432,-0.1265,-1.6096,0.0249,0.4058,-0.1386
0.046231,-0.4808,-0.1223,-1.6759,0.0249,0.4058,-0.1386
0.046457,-0.4808,-0.1223,-1.6759,0.0249,0.4058,-0.1386
0.046675,-0.4808,-0.1223,-1.6759,0.0066,0.4107,-0.1361
0.046878,-0.4254,-0.1057,-1.7472,0.0066,0.4107,-0.1361
0.047131,-0.4254,-0.1057,-1.7472,0.0066,0.4107,-0.1361
0.047338,-0.4254,-0.1057,-1.7472,-0.0104,0.4192,-0.1337
0.047550,-0.4029,-0.1177,-1.8117,-0.0104,0.4192,-0.1337
0.047770,-0.4029,-0.1177,-1.8117,-0.0104,0.4192,-0.1337
0.048071,-0.4029,-0.1177,-1.8117,-0.0300,0.4278,-0.1337
0.048304,-0.3702,-0.1442,-1.8664,-0.0300,0.4278,-0.1337
0.048533,-0.3702,-0.1442,-1.8664,-0.0300,0.4278,-0.1337
0.048746,-0.3702,-0.1442,-1.8664,-0.0459,0.4375,-0.1324
0.048958,-0.3934,-0.1673,-1.9281,-0.0459,0.4375,-0.1324
0.049178,-0.3934,-0.1673,-1.9281,-0.0459,0.4375,-0.1324
0.049385,-0.3934,-0.1673,-1.9281,-0.0630,0.4448,-0.1324
0.049589,-0.3585,-0.2299,-1.9500,-0.0630,0.4448,-0.1324
0.049810,-0.3585,-0.2299,-1.9500,-0.0630,0.4448,-0.1324
0.050014,-0.3585,-0.2299,-1.9500,-0.0802,0.4522,-0.1337
0.050232,-0.3544,-0.2382,-1.9569,-0.0802,0.4522,-0.1337
0.050457,-0.3544,-0.2382,-1.9569,-0.0802,0.4522,-0.1337
0.050694,-0.3544,-0.2382,-1.9569,-0.0972,0.4583,-0.1349
0.050900,-0.3431,-0.3241,-1.8201,-0.0972,0.4583,-0.1349
0.051116,-0.3431,-0.3241,-1.8201,-0.0972,0.4583,-0.1349
0.051378,-0.3431,-0.3241,-1.8201,-0.1094,0.4448,-0.1374
0.051588,-0.5357,-0.3296,-1.4903,-0.1094,0.4448,-0.1374
0.078994,-0.5357,-0.3296,-1.4903,-0.1094,0.4448,-0.1374
0.079583,-0.5357,-0.3296,-1.4903,-0.1204,0.4302,-0.1361
0.080407,-0.7224,-0.2599,-1.6005,-0.1204,0.4302,-0.1361
0.081038,-0.7224,-0.2599,-1.6005,-0.1204,0.4302,-0.1361
0.081437,-0.7224,-0.2599,-1.6005,-0.1314,0.4302,-0.1337
0.081956,-0.8191,-0.1972,-1.6368,-0.1314,0.4302,-0.1337
0.082496,-0.8191,-0.1972,-1.6368,-0.1314,0.4302,-0.1337
0.082874,-0.8191,-0.1972,-1.6368,-0.1425,0.4327,-0.1312
0.083424,-0.9154,-0.1672,-1.5703,-0.1425,0.4327,-0.1312
0.084094,-0.9154,-0.1672,-1.5703,-0.1425,0.4327,-0.1312
0.084514,-0.9154,-0.1672,-1.5703,-0.1572,0.4363,-0.1264
0.085003,-0.8866,-0.1519,-1.4797,-0.1572,0.4363,-0.1264
0.085643,-0.8866,-0.1519,-1.4797,-0.1572,0.4363,-0.1264
0.086026,-0.8866,-0.1519,-1.4797,-0.1717,0.4388,-0.1264
0.086540,-0.8577,-0.1324,-1.4032,-0.1717,0.4388,-0.1264
0.087131,-0.8577,-0.1324,-1.4032,-0.1717,0.4388,-0.1264
0.087534,-0.8577,-0.1324,-1.4032,-0.1827,0.4388,-0.1264
0.088014,-0.8527,-0.0996,-1.3057,-0.1827,0.4388,-0.1264
0.088595,-0.8527,-0.0996,-1.3057,-0.1827,0.4388,-0.1264
0.088988,-0.8527,-0.0996,-1.3057,-0.1900,0.4388,-0.1251
0.089457,-0.8436,-0.0787,-1.2563,-0.1900,0.4388,-0.1251
0.090074,-0.8436,-0.0787,-1.2563,-0.1900,0.4388,-0.1251
0.090477,-0.8436,-0.0787,-1.2563,-0.1987,0.4375,-0.1239
0.091027,-0.8435,-0.0457,-1.2259,-0.1987,0.4375,-0.1239
0.091635,-0.8435,-0.0457,-1.2259,-0.1987,0.4375,-0.1239
0.092199,-0.8435,-0.0457,-1.2259,-0.2072,0.4363,-0.1226
0.092772,-0.8363,-0.0326,-1.2096,-0.2072,0.4363,-0.1226
0.093338,-0.8363,-0.0326,-1.2096,-0.2072,0.4363,-0.1226
0.093732,-0.8363,-0.0326,-1.2096,-0.2120,0.4315,-0.1214
0.094245,-0.8911,-0.0022,-1.1842,-0.2120,0.4315,-0.1214
0.094847,-0.8911,-0.0022,-1.1842,-0.2120,0.4315,-0.1214
0.095271,-0.8911,-0.0022,-1.1842,-0.2182,0.4267,-0.1202
0.095771,-0.9096,0.0889,-1.1297,-0.2182,0.4267,-0.1202
0.096426,-0.9096,0.0889,-1.1297,-0.2182,0.4267,-0.1202
0.096828,-0.9096,0.0889,-1.1297,-0.2218,0.4229,-0.1165
0.097415,-0.9092,0.1070,-1.1254,-0.2218,0.4229,-0.1165
0.097969,-0.9092,0.1070,-1.1254,-0.2218,0.4229,-0.1165
0.098193,-0.9092,0.1070,-1.1254,-0.2243,0.4205,-0.1104
0.098506,-0.8920,0.1092,-1.0659,-0.2243,0.4205,-0.1104
0.098802,-0.8920,0.1092,-1.0659,-0.2243,0.4205,-0.1104
0.099031,-0.8920,0.1092,-1.0659,-0.2243,0.4180,-0.1067
0.099264,-0.8607,0.0914,-1.0284,-0.2243,0.4180,-0.1067
0.099613,-0.8607,0.0914,-1.0284,-0.2243,0.4180,-0.1067
0.099836,-0.8607,0.0914,-1.0284,-0.2230,0.4144,-0.1031
0.100212,-0.8177,0.0885,-1.0119,-0.2230,0.4144,-0.1031
0.100544,-0.8177,0.0885,-1.0119,-0.2230,0.4144,-0.1031
0.100804,-0.8177,0.0885,-1.0119,-0.2207,0.4132,-0.0994
0.101124,-0.8006,0.0877,-0.9784,-0.2207,0.4132,-0.0994
0.101447,-0.8006,0.0877,-0.9784,-0.2207,0.4132,-0.0994
0.101673,-0.8006,0.0877,-0.9784,-0.2157,0.4132,-0.0969
0.101943,-0.8026,0.0487,-0.9720,-0.2157,0.4132,-0.0969
0.102253,-0.8026,0.0487,-0.9720,-0.2157,0.4132,-0.0969
0.102574,-0.8026,0.0487,-0.9720,-0.2133,0.4169,-0.0957
0.102870,-0.8125,0.0310,-0.9894,-0.2133,0.4169,-0.0957
0.103215,-0.8125,0.0310,-0.9894,-0.2133,0.4169,-0.0957
0.103435,-0.8125,0.0310,-0.9894,-0.2097,0.4181,-0.0932
0.103699,-0.8404,0.0209,-1.0228,-0.2097,0.4181,-0.0932
0.104055,-0.8404,0.0209,-1.0228,-0.2097,0.4181,-0.0932
0.104302,-0.8404,0.0209,-1.0228,-0.2060,0.4217,-0.0884
0.104602,-0.8672,0.0200,-1.0142,-0.2060,0.4217,-0.0884
0.104926,-0.8672,0.0200,-1.0142,-0.2060,0.4217,-0.0884
0.105157,-0.8672,0.0200,-1.0142,-0.2023,0.4254,-0.0847
0.105436,-0.8688,0.0598,-1.0434,-0.2023,0.4254,-0.0847
0.105759,-0.8688,0.0598,-1.0434,-0.2023,0.4254,-0.0847
0.105976,-0.8688,0.0598,-1.0434,-0.2010,0.4290,-0.0799
0.106201,-0.8756,0.0206,-1.0698,-0.2010,0.4290,-0.0799
0.106528,-0.8756,0.0206,-1.0698,-0.2010,0.4290,-0.0799
0.106764,-0.8756,0.0206,-1.0698,-0.1974,0.4377,-0.0762
0.107059,-0.8752,0.0433,-1.0749,-0.1974,0.4377,-0.0762
0.107384,-0.8752,0.0433,-1.0749,-0.1974,0.4377,-0.0762
0.107611,-0.8752,0.0433,-1.0749,-0.1950,0.4462,-0.0712
0.107989,-0.8775,0.1168,-1.0960,-0.1950,0.4462,-0.0712
0.115954,-0.8775,0.1168,-1.0960,-0.1950,0.4462,-0.0712
0.116246,-0.8775,0.1168,-1.0960,-0.1962,0.4559,-0.0652
0.116639,-0.8959,0.0983,-1.1610,-0.1962,0.4559,-0.0652
0.116978,-0.8959,0.0983,-1.1610,-0.1962,0.4559,-0.0652
0.117204,-0.8959,0.0983,-1.1610,-0.1962,0.4705,-0.0579
0.117535,-0.9278,0.1328,-1.1580,-0.1962,0.4705,-0.0579
0.117884,-0.9278,0.1328,-1.1580,-0.1962,0.4705,-0.0579
0.118129,-0.9278,0.1328,-1.1580,-0.1974,0.4815,-0.0506
0.118391,-0.9552,0.1721,-1.1560,-0.1974,0.4815,-0.0506
0.118698,-0.9552,0.1721,-1.1560,-0.1974,0.4815,-0.0506
0.118919,-0.9552,0.1721,-1.1560,-0.2010,0.4975,-0.0419
0.119192,-0.9655,0.1904,-1.1918,-0.2010,0.4975,-0.0419
0.119537,-0.9655,0.1904,-1.1918,-0.2010,0.4975,-0.0419
0.119769,-0.9655,0.1904,-1.1918,-0.2072,0.5122,-0.0297
0.120089,-0.9995,0.1958,-1.1916,-0.2072,0.5122,-0.0297
0.121512,-0.9995,0.1958,-1.1916,-0.2072,0.5122,-0.0297
0.121761,-0.9995,0.1958,-1.1916,-0.2157,0.5317,-0.0188
0.122064,-1.0020,0.2214,-1.2324,-0.2157,0.5317,-0.0188
0.130144,-1.0020,0.2214,-1.2324,-0.2157,0.5317,-0.0188
0.130846,-1.0020,0.2214,-1.2324,-0.2255,0.5537,-0.0066
0.131538,-0.9893,0.2101,-1.2033,-0.2255,0.5537,-0.0066
0.132309,-0.9893,0.2101,-1.2033,-0.2255,0.5537,-0.0066
0.132762,-0.9893,0.2101,-1.2033,-0.2377,0.5793,0.0069
0.133084,-0.9878,0.2209,-1.1381,-0.2377,0.5793,0.0069
0.133422,-0.9878,0.2209,-1.1381,-0.2377,0.5793,0.0069
0.133669,-0.9878,0.2209,-1.1381,-0.2500,0.6086,0.0203
0.133985,-0.9558,0.2062,-1.1238,-0.2500,0.6086,0.0203
0.134360,-0.9558,0.2062,-1.1238,-0.2500,0.6086,0.0203
0.134581,-0.9558,0.2062,-1.1238,-0.2634,0.6355,0.0312
0.134875,-0.9480,0.1845,-1.0106,-0.2634,0.6355,0.0312
0.135367,-0.9480,0.1845,-1.0106,-0.2634,0.6355,0.0312
0.135596,-0.9480,0.1845,-1.0106,-0.2756,0.6636,0.0447
0.135872,-0.9186,0.1344,-0.9294,-0.2756,0.6636,0.0447
0.136370,-0.9186,0.1344,-0.9294,-0.2756,0.6636,0.0447
0.136597,-0.9186,0.1344,-0.9294,-0.2865,0.6880,0.0532
0.136947,-0.8528,0.0916,-0.8693,-0.2865,0.6880,0.0532
0.146887,-0.8528,0.0916,-0.8693,-0.2865,0.6880,0.0532
0.147639,-0.8528,0.0916,-0.8693,-0.2988,0.7100,0.0619
0.149224,-0.7775,0.0112,-0.7302,-0.2988,0.7100,0.0619
0.150486,-0.7775,0.0112,-0.7302,-0.2988,0.7100,0.0619
0.151199,-0.7775,0.0112,-0.7302,-0.3073,0.7271,0.0654
0.151814,-0.7417,-0.0237,-0.6251,-0.3073,0.7271,0.0654
0.152442,-0.7417,-0.0237,-0.6251,-0.3073,0.7271,0.0654
0.152821,-0.7417,-0.0237,-0.6251,-0.3147,0.7381,0.0692
0.153263,-0.6745,-0.0722,-0.5201,-0.3147,0.7381,0.0692
0.153724,-0.6745,-0.0722,-0.5201,-0.3147,0.7381,0.0692
0.154059,-0.6745,-0.0722,-0.5201,-0.3208,0.7466,0.0667
0.154494,-0.6310,-0.1371,-0.4313,-0.3208,0.7466,0.0667
0.154949,-0.6310,-0.1371,-0.4313,-0.3208,0.7466,0.0667
0.155273,-0.6310,-0.1371,-0.4313,-0.3270,0.7503,0.0642
0.155701,-0.5825,-0.1944,-0.3667,-0.3270,0.7503,0.0642
0.156246,-0.5825,-0.1944,-0.3667,-0.3270,0.7503,0.0642
0.156588,-0.5825,-0.1944,-0.3667,-0.3293,0.7539,0.0594
0.157037,-0.5464,-0.2262,-0.2569,-0.3293,0.7539,0.0594
0.157513,-0.5464,-0.2262,-0.2569,-0.3293,0.7539,0.0594
0.157875,-0.5464,-0.2262,-0.2569,-0.3293,0.7527,0.0496
0.158363,-0.5160,-0.3029,-0.1666,-0.3293,0.7527,0.0496
0.158802,-0.5160,-0.3029,-0.1666,-0.3293,0.7527,0.0496
0.159133,-0.5160,-0.3029,-0.1666,-0.3281,0.7479,0.0422
0.159560,-0.5087,-0.3127,-0.0692,-0.3281,0.7479,0.0422
0.160048,-0.5087,-0.3127,-0.0692,-0.3281,0.7479,0.0422
0.160396,-0.5087,-0.3127,-0.0692,-0.3270,0.7369,0.0289
0.160797,-0.4945,-0.3331,0.0256,-0.3270,0.7369,0.0289
0.161227,-0.4945,-0.3331,0.0256,-0.3270,0.7369,0.0289
0.161596,-0.4945,-0.3331,0.0256,-0.3257,0.7221,0.0179
0.161979,-0.5090,-0.3012,0.0797,-0.3257,0.7221,0.0179
0.162477,-0.5090,-0.3012,0.0797,-0.3257,0.7221,0.0179
0.162793,-0.5090,-0.3012,0.0797,-0.3233,0.7002,0.0069
0.163160,-0.5463,-0.3030,0.1770,-0.3233,0.7002,0.0069
0.164180,-0.5463,-0.3030,0.1770,-0.3233,0.7002,0.0069
0.164522,-0.5463,-0.3030,0.1770,-0.3208,0.6758,-0.0029
0.164886,-0.5567,-0.3041,0.2333,-0.3208,0.6758,-0.0029
0.172102,-0.5567,-0.3041,0.2333,-0.3208,0.6758,-0.0029
0.172938,-0.5567,-0.3041,0.2333,-0.3160,0.6453,-0.0103
0.173821,-0.5341,-0.2924,0.2904,-0.3160,0.6453,-0.0103
