
time,ax,ay,az,wx,wy,wz
0.002,-0.36,-0.22,-1.12,-0.29,0.06,-0.01
0.002,-0.28,-0.22,-1.09,-0.29,0.06,-0.01
0.003,-0.28,-0.22,-1.09,-0.32,0.05,0.00
0.003,-0.28,-0.22,-1.09,-0.35,0.05,0.01
0.003,-0.26,-0.27,-0.98,-0.35,0.05,0.01
0.003,-0.26,-0.27,-0.98,-0.37,0.04,0.01
0.004,-0.26,-0.27,-0.98,-0.40,0.03,0.02
0.004,-0.18,-0.22,-0.86,-0.40,0.03,0.02
0.004,-0.18,-0.22,-0.86,-0.41,0.01,0.02
0.004,-0.18,-0.22,-0.86,-0.43,-0.00,0.02
0.005,-0.13,-0.21,-0.68,-0.43,-0.00,0.02
0.005,-0.13,-0.21,-0.68,-0.44,-0.02,0.02
0.01,-0.12,-0.17,-0.48,-0.44,-0.02,0.02
0.01,-0.12,-0.17,-0.48,-0.44,-0.05,0.02
0.012,-0.15,-0.14,-0.18,-0.44,-0.05,0.02
0.012,-0.15,-0.14,-0.18,-0.44,-0.08,0.03
0.013,-0.15,-0.14,-0.18,-0.43,-0.12,0.03
0.016,-0.13,-0.04,0.20,-0.43,-0.12,0.03
0.017,-0.13,-0.04,0.20,-0.41,-0.16,0.03
0.026,-0.08,-0.04,0.50,-0.41,-0.16,0.03
0.027,-0.08,-0.04,0.50,-0.38,-0.19,0.03
0.027,-0.08,-0.04,0.50,-0.36,-0.21,0.04
0.027,-0.08,-0.04,0.50,-0.32,-0.22,0.04
0.027,-0.08,-0.01,0.70,-0.32,-0.22,0.04
0.028,-0.08,-0.01,0.70,-0.29,-0.22,0.05
0.028,-0.07,-0.06,0.81,-0.29,-0.22,0.05
0.028,-0.07,-0.06,0.81,-0.26,-0.22,0.05
0.032,-0.07,-0.03,0.90,-0.26,-0.22,0.05
0.032,-0.07,-0.03,0.90,-0.22,-0.22,0.06
0.033,-0.07,-0.03,0.90,-0.19,-0.21,0.06
0.036,-0.07,-0.11,0.86,-0.19,-0.21,0.06
0.036,-0.07,-0.11,0.86,-0.15,-0.20,0.06
0.04,-0.12,-0.16,0.77,-0.15,-0.20,0.06
0.041,-0.12,-0.16,0.77,-0.13,-0.18,0.07
0.041,-0.12,-0.16,0.77,-0.11,-0.17,0.07
0.043,-0.13,-0.18,0.58,-0.11,-0.17,0.07
0.044,-0.13,-0.18,0.58,-0.09,-0.15,0.07
0.047,-0.13,-0.18,0.58,-0.09,-0.13,0.07
0.047,-0.14,-0.22,0.34,-0.09,-0.13,0.07
0.05,-0.14,-0.22,0.34,-0.08,-0.11,0.07
0.052,-0.11,-0.27,0.06,-0.08,-0.11,0.07
0.053,-0.11,-0.27,0.06,-0.09,-0.09,0.07
0.054,-0.11,-0.27,0.06,-0.09,-0.07,0.06
0.055,-0.11,-0.27,0.06,-0.11,-0.05,0.06
0.055,-0.09,-0.28,-0.19,-0.11,-0.05,0.06
0.059,-0.09,-0.28,-0.19,-0.13,-0.03,0.05
0.059,-0.08,-0.27,-0.43,-0.13,-0.03,0.05
0.062,-0.08,-0.27,-0.43,-0.15,-0.01,0.04
0.062,-0.08,-0.27,-0.43,-0.17,0.01,0.04
0.063,-0.07,-0.25,-0.60,-0.17,0.01,0.04
0.066,-0.07,-0.25,-0.60,-0.20,0.02,0.04
0.066,-0.09,-0.20,-0.76,-0.20,0.02,0.04
0.071,-0.09,-0.20,-0.76,-0.23,0.04,0.03
0.071,-0.09,-0.20,-0.76,-0.26,0.05,0.03
0.071,-0.12,-0.16,-0.85,-0.26,0.05,0.03
0.074,-0.12,-0.16,-0.85,-0.29,0.05,0.03
0.074,-0.15,-0.13,-0.88,-0.29,0.05,0.03
0.074,-0.15,-0.13,-0.88,-0.32,0.06,0.03
0.079,-0.15,-0.13,-0.88,-0.34,0.06,0.03
0.079,-0.22,-0.10,-0.88,-0.34,0.06,0.03
0.081,-0.22,-0.10,-0.88,-0.37,0.05,0.03
0.082,-0.22,-0.10,-0.88,-0.39,0.05,0.03
0.082,-0.27,-0.09,-0.84,-0.39,0.05,0.03
0.094,-0.30,-0.06,-0.76,-0.39,0.05,0.03
0.094,-0.30,-0.06,-0.76,-0.42,0.05,0.04
0.095,-0.30,-0.08,-0.67,-0.42,0.05,0.04
0.095,-0.30,-0.08,-0.67,-0.43,0.04,0.04
0.095,-0.30,-0.08,-0.67,-0.45,0.03,0.05
0.095,-0.30,-0.08,-0.67,-0.46,0.03,0.05
0.095,-0.28,-0.10,-0.55,-0.46,0.03,0.05
0.096,-0.28,-0.10,-0.55,-0.47,0.02,0.06
0.099,-0.28,-0.10,-0.55,-0.48,0.01,0.07
0.099,-0.27,-0.15,-0.43,-0.48,0.01,0.07
0.102,-0.22,-0.17,-0.33,-0.48,0.01,0.07
0.105,-0.22,-0.17,-0.33,-0.49,0.00,0.08
0.105,-0.22,-0.17,-0.33,-0.49,-0.00,0.08
0.107,-0.22,-0.17,-0.33,-0.49,-0.01,0.09
0.107,-0.16,-0.23,-0.25,-0.49,-0.01,0.09
0.11,-0.16,-0.23,-0.25,-0.50,-0.01,0.09
0.111,-0.12,-0.25,-0.22,-0.50,-0.01,0.09
0.111,-0.12,-0.25,-0.22,-0.50,-0.02,0.10
0.115,-0.12,-0.25,-0.22,-0.50,-0.02,0.10
0.115,-0.14,-0.26,-0.21,-0.50,-0.02,0.10
0.115,-0.14,-0.26,-0.21,-0.51,-0.02,0.10
0.119,-0.14,-0.26,-0.21,-0.51,-0.03,0.10
0.12,-0.16,-0.26,-0.19,-0.51,-0.03,0.10
0.123,-0.20,-0.22,-0.18,-0.51,-0.03,0.10
0.123,-0.20,-0.22,-0.18,-0.51,-0.04,0.11
0.123,-0.20,-0.22,-0.18,-0.52,-0.04,0.11
0.126,-0.20,-0.22,-0.18,-0.52,-0.05,0.11
0.126,-0.24,-0.17,-0.13,-0.52,-0.05,0.11
0.13,-0.24,-0.17,-0.13,-0.52,-0.06,0.12
0.13,-0.23,-0.12,-0.09,-0.52,-0.06,0.12
0.13,-0.23,-0.12,-0.09,-0.52,-0.07,0.13
0.133,-0.23,-0.12,-0.09,-0.52,-0.08,0.14
0.135,-0.23,-0.12,-0.09,-0.52,-0.08,0.14
0.136,-0.23,-0.10,-0.06,-0.52,-0.08,0.14
0.139,-0.23,-0.10,-0.06,-0.52,-0.08,0.15
0.139,-0.19,-0.11,-0.03,-0.52,-0.08,0.15
0.142,-0.19,-0.11,-0.03,-0.52,-0.09,0.16
0.155,-0.14,-0.14,-0.04,-0.52,-0.09,0.16
0.156,-0.14,-0.14,-0.04,-0.52,-0.09,0.17
0.156,-0.14,-0.14,-0.04,-0.52,-0.09,0.17
0.156,-0.14,-0.16,-0.04,-0.52,-0.09,0.17
0.156,-0.14,-0.16,-0.04,-0.52,-0.09,0.18
0.157,-0.14,-0.16,-0.04,-0.52,-0.10,0.18
0.157,-0.11,-0.17,-0.03,-0.52,-0.10,0.18
0.157,-0.11,-0.17,-0.03,-0.52,-0.10,0.19
0.157,-0.10,-0.20,-0.03,-0.52,-0.10,0.19
0.157,-0.10,-0.20,-0.03,-0.53,-0.11,0.19
0.159,-0.11,-0.23,-0.05,-0.53,-0.11,0.19
0.159,-0.11,-0.23,-0.05,-0.53,-0.11,0.19
0.163,-0.11,-0.23,-0.05,-0.54,-0.11,0.20
0.163,-0.17,-0.25,-0.06,-0.54,-0.11,0.20
0.163,-0.17,-0.25,-0.06,-0.54,-0.11,0.20
0.164,-0.17,-0.25,-0.06,-0.54,-0.11,0.21
0.166,-0.20,-0.23,-0.07,-0.54,-0.11,0.21
0.169,-0.20,-0.23,-0.07,-0.54,-0.11,0.21
0.17,-0.20,-0.23,-0.07,-0.55,-0.11,0.22
0.171,-0.31,-0.23,-0.02,-0.55,-0.11,0.22
0.171,-0.31,-0.23,-0.02,-0.55,-0.11,0.23
0.176,-0.36,-0.22,0.04,-0.55,-0.11,0.23
0.176,-0.36,-0.22,0.04,-0.55,-0.11,0.24
0.18,-0.46,-0.19,0.10,-0.55,-0.11,0.24
0.181,-0.46,-0.19,0.10,-0.54,-0.11,0.25
0.181,-0.46,-0.19,0.10,-0.54,-0.11,0.27
0.185,-0.46,-0.19,0.10,-0.54,-0.11,0.28
0.185,-0.56,-0.14,0.19,-0.54,-0.11,0.28
0.185,-0.56,-0.14,0.19,-0.53,-0.12,0.30
0.188,-0.64,-0.09,0.28,-0.53,-0.12,0.30
0.188,-0.64,-0.09,0.28,-0.52,-0.12,0.32
0.192,-0.64,-0.04,0.35,-0.52,-0.12,0.32
0.192,-0.64,-0.04,0.35,-0.51,-0.13,0.34
0.193,-0.64,-0.04,0.35,-0.49,-0.13,0.36
0.196,-0.63,0.02,0.39,-0.49,-0.13,0.36
