
time,wx,wy,wz,ax,ay,az
0.195,0.15,0.08,-0.18,0.03,-0.04,0.84
0.218,0.15,0.08,-0.18,0.04,-0.09,1.02
0.22,0.16,0.13,-0.20,0.04,-0.09,1.02
0.221,0.16,0.18,-0.22,0.04,-0.09,1.02
0.222,0.16,0.18,-0.22,0.03,-0.10,1.11
0.223,0.18,0.25,-0.23,0.03,-0.10,1.11
0.224,0.18,0.25,-0.23,0.02,-0.06,1.09
0.225,0.18,0.25,-0.23,0.04,-0.04,1.06
0.226,0.19,0.33,-0.25,0.04,-0.04,1.06
0.227,0.20,0.42,-0.27,0.04,-0.04,1.06
0.229,0.20,0.42,-0.27,0.07,0.03,0.98
0.23,0.19,0.49,-0.29,0.07,0.03,0.98
0.231,0.19,0.49,-0.29,0.18,0.12,0.90
0.233,0.19,0.55,-0.31,0.18,0.12,0.90
0.234,0.19,0.55,-0.31,0.30,0.22,0.76
0.235,0.17,0.58,-0.34,0.30,0.22,0.76
0.236,0.17,0.58,-0.34,0.30,0.24,0.61
0.264,0.14,0.60,-0.38,0.30,0.24,0.61
0.265,0.14,0.60,-0.38,0.31,0.30,0.47
0.267,0.11,0.61,-0.42,0.31,0.30,0.47
0.268,0.11,0.61,-0.42,0.33,0.38,0.30
0.269,0.11,0.61,-0.42,0.37,0.44,0.14
0.27,0.09,0.62,-0.47,0.37,0.44,0.14
0.271,0.09,0.62,-0.47,0.32,0.47,0.02
0.272,0.06,0.62,-0.51,0.32,0.47,0.02
0.272,0.06,0.62,-0.51,0.30,0.51,0.02
0.273,0.02,0.61,-0.55,0.30,0.51,0.02
0.274,0.02,0.61,-0.55,0.29,0.55,-0.04
0.275,-0.02,0.59,-0.58,0.29,0.55,-0.04
0.275,-0.05,0.59,-0.61,0.29,0.55,-0.04
0.276,-0.05,0.59,-0.61,0.29,0.58,-0.04
0.276,-0.05,0.59,-0.61,0.21,0.55,-0.20
0.277,-0.08,0.60,-0.62,0.21,0.55,-0.20
0.28,-0.08,0.60,-0.62,0.03,0.56,-0.33
0.281,-0.12,0.62,-0.61,0.03,0.56,-0.33
0.285,-0.12,0.62,-0.61,-0.04,0.58,-0.39
0.286,-0.16,0.64,-0.58,-0.04,0.58,-0.39
0.29,-0.16,0.64,-0.58,-0.03,0.62,-0.41
0.291,-0.20,0.65,-0.56,-0.03,0.62,-0.41
0.297,-0.24,0.65,-0.54,-0.03,0.62,-0.41
0.298,-0.24,0.65,-0.54,0.00,0.66,-0.41
0.3,-0.24,0.65,-0.54,-0.05,0.64,-0.41
0.301,-0.28,0.64,-0.53,-0.05,0.64,-0.41
0.305,-0.28,0.64,-0.53,-0.16,0.57,-0.35
0.306,-0.32,0.62,-0.51,-0.16,0.57,-0.35
0.31,-0.32,0.62,-0.51,-0.26,0.52,-0.28
0.311,-0.37,0.60,-0.50,-0.26,0.52,-0.28
0.315,-0.37,0.60,-0.50,-0.30,0.50,-0.22
0.316,-0.40,0.57,-0.49,-0.30,0.50,-0.22
0.32,-0.40,0.57,-0.49,-0.28,0.43,-0.14
0.321,-0.44,0.54,-0.47,-0.28,0.43,-0.14
0.325,-0.44,0.54,-0.47,-0.21,0.35,-0.20
0.326,-0.47,0.50,-0.44,-0.21,0.35,-0.20
0.34,-0.51,0.48,-0.41,-0.21,0.35,-0.20
0.341,-0.51,0.48,-0.41,-0.60,0.30,-0.16
0.342,-0.55,0.50,-0.37,-0.60,0.30,-0.16
0.342,-0.55,0.50,-0.37,-0.83,0.31,-0.07
0.343,-0.58,0.53,-0.33,-0.83,0.31,-0.07
0.344,-0.58,0.53,-0.33,-0.58,0.33,-0.25
0.346,-0.58,0.53,-0.33,-0.46,0.33,-0.31
0.348,-0.61,0.57,-0.28,-0.46,0.33,-0.31
0.35,-0.64,0.60,-0.22,-0.46,0.33,-0.31
0.351,-0.64,0.60,-0.22,-0.53,0.32,-0.14
0.355,-0.66,0.64,-0.17,-0.53,0.32,-0.14
0.356,-0.66,0.64,-0.17,-0.69,0.37,-0.11
0.361,-0.67,0.69,-0.11,-0.69,0.37,-0.11
0.362,-0.67,0.69,-0.11,-0.79,0.43,-0.21
0.366,-0.68,0.76,-0.06,-0.79,0.43,-0.21
0.368,-0.68,0.76,-0.06,-0.76,0.45,-0.30
0.37,-0.69,0.83,-0.01,-0.76,0.45,-0.30
0.371,-0.69,0.83,-0.01,-0.60,0.36,-0.19
0.375,-0.70,0.88,0.03,-0.60,0.36,-0.19
0.376,-0.70,0.88,0.03,-0.48,0.29,-0.01
0.381,-0.70,0.88,0.03,-0.47,0.23,0.01
0.382,-0.69,0.91,0.07,-0.47,0.23,0.01
0.386,-0.69,0.91,0.07,-0.46,0.18,-0.06
0.387,-0.69,0.93,0.10,-0.46,0.18,-0.06
0.391,-0.69,0.95,0.14,-0.46,0.18,-0.06
0.392,-0.69,0.95,0.14,-0.45,0.20,-0.14
0.398,-0.69,0.95,0.14,-0.46,0.24,-0.15
0.4,-0.68,0.96,0.17,-0.46,0.24,-0.15
0.401,-0.68,0.96,0.17,-0.44,0.28,-0.27
0.402,-0.67,0.95,0.20,-0.44,0.28,-0.27
0.406,-0.67,0.95,0.20,-0.41,0.40,-0.33
0.407,-0.66,0.94,0.23,-0.41,0.40,-0.33
0.411,-0.66,0.94,0.23,-0.40,0.48,-0.50
0.413,-0.66,0.93,0.26,-0.40,0.48,-0.50
0.424,-0.65,0.93,0.29,-0.40,0.48,-0.50
0.426,-0.65,0.93,0.29,-0.44,0.52,-0.75
0.427,-0.65,0.93,0.29,-0.42,0.54,-0.81
0.427,-0.66,0.93,0.32,-0.42,0.54,-0.81
0.428,-0.66,0.93,0.32,-0.42,0.49,-0.72
0.429,-0.66,0.93,0.35,-0.42,0.49,-0.72
0.433,-0.66,0.90,0.37,-0.42,0.49,-0.72
0.435,-0.66,0.90,0.37,-0.30,0.42,-0.45
0.436,-0.66,0.90,0.37,-0.17,0.32,-0.10
0.437,-0.66,0.83,0.38,-0.17,0.32,-0.10
0.441,-0.66,0.83,0.38,-0.14,0.27,0.24
0.442,-0.64,0.70,0.37,-0.14,0.27,0.24
0.448,-0.64,0.70,0.37,-0.16,0.18,0.55
0.449,-0.62,0.54,0.37,-0.16,0.18,0.55
0.452,-0.59,0.36,0.36,-0.16,0.18,0.55
0.453,-0.59,0.36,0.36,-0.26,0.12,0.76
0.456,-0.54,0.19,0.36,-0.26,0.12,0.76
0.457,-0.54,0.19,0.36,-0.37,0.16,0.84
0.462,-0.50,0.05,0.36,-0.37,0.16,0.84
0.463,-0.50,0.05,0.36,-0.42,0.16,0.86
0.467,-0.50,0.05,0.36,-0.47,0.16,0.85
0.468,-0.44,-0.05,0.37,-0.47,0.16,0.85
0.471,-0.38,-0.09,0.40,-0.47,0.16,0.85
0.472,-0.38,-0.09,0.40,-0.45,0.17,0.85
0.476,-0.38,-0.09,0.40,-0.44,0.22,0.82
0.477,-0.32,-0.09,0.42,-0.44,0.22,0.82
0.491,-0.32,-0.09,0.42,-0.43,0.14,0.70
0.492,-0.25,-0.04,0.46,-0.43,0.14,0.70
0.493,-0.17,0.05,0.50,-0.43,0.14,0.70
0.494,-0.17,0.05,0.50,-0.40,0.11,0.76
0.514,-0.10,0.14,0.54,-0.40,0.11,0.76
0.515,-0.10,0.14,0.54,-0.35,0.11,0.90
0.517,-0.10,0.14,0.54,-0.33,0.08,0.90
0.519,-0.02,0.22,0.58,-0.33,0.08,0.90
0.52,-0.02,0.22,0.58,-0.39,0.08,0.92
0.522,0.07,0.28,0.62,-0.39,0.08,0.92
0.523,0.07,0.28,0.62,-0.53,-0.05,0.91
0.524,0.16,0.31,0.66,-0.53,-0.05,0.91
0.525,0.16,0.31,0.66,-0.66,-0.34,0.91
0.526,0.23,0.33,0.70,-0.66,-0.34,0.91
0.527,0.31,0.32,0.73,-0.66,-0.34,0.91
0.528,0.31,0.32,0.73,-0.67,-0.50,0.98
0.529,0.31,0.32,0.73,-0.65,-0.51,1.08
0.53,0.41,0.25,0.76,-0.65,-0.51,1.08
0.531,0.52,0.10,0.79,-0.65,-0.51,1.08
0.532,0.52,0.10,0.79,-0.59,-0.46,1.20
0.534,0.65,-0.10,0.82,-0.59,-0.46,1.20
0.535,0.65,-0.10,0.82,-0.60,-0.29,1.20
0.542,0.80,-0.31,0.86,-0.60,-0.29,1.20
0.543,0.80,-0.31,0.86,-0.60,-0.07,1.03
0.544,0.80,-0.31,0.86,-0.50,0.04,0.69
0.545,0.96,-0.52,0.89,-0.50,0.04,0.69
0.548,0.96,-0.52,0.89,-0.36,0.08,0.26
0.55,1.10,-0.70,0.91,-0.36,0.08,0.26
0.552,1.21,-0.87,0.91,-0.36,0.08,0.26
0.552,1.21,-0.87,0.91,-0.27,0.00,-0.29
0.557,1.27,-1.01,0.89,-0.27,0.00,-0.29
0.557,1.27,-1.01,0.89,-0.33,-0.05,-0.73
0.564,1.27,-1.01,0.89,-0.52,-0.12,-0.36
0.565,1.28,-0.95,0.85,-0.52,-0.12,-0.36
0.567,1.26,-0.65,0.79,-0.52,-0.12,-0.36
0.568,1.26,-0.65,0.79,0.14,-0.31,-0.84
0.572,1.16,-0.60,0.71,0.14,-0.31,-0.84
0.573,1.16,-0.60,0.71,0.89,-0.56,-2.51
0.577,0.98,-0.72,0.62,0.89,-0.56,-2.51
0.578,0.98,-0.72,0.62,0.66,-0.69,-3.17
0.582,0.78,-0.66,0.58,0.66,-0.69,-3.17
0.584,0.78,-0.66,0.58,0.15,-0.59,-2.77
0.587,0.78,-0.66,0.58,0.07,-0.47,-2.48
0.588,0.58,-0.52,0.56,0.07,-0.47,-2.48
0.592,0.37,-0.47,0.57,0.07,-0.47,-2.48
0.593,0.37,-0.47,0.57,0.02,-0.50,-2.39
0.607,0.17,-0.41,0.59,0.02,-0.50,-2.39
0.609,0.17,-0.41,0.59,-0.21,-0.61,-2.02
0.609,0.01,-0.31,0.62,-0.21,-0.61,-2.02
0.61,0.01,-0.31,0.62,-0.30,-0.65,-1.37
0.611,-0.10,-0.21,0.65,-0.30,-0.65,-1.37
0.612,-0.10,-0.21,0.65,-0.26,-0.62,-0.70
0.613,-0.10,-0.21,0.65,-0.19,-0.60,-0.01
0.614,-0.14,-0.12,0.67,-0.19,-0.60,-0.01
0.627,-0.13,-0.06,0.69,-0.19,-0.60,-0.01
0.628,-0.13,-0.06,0.69,-0.11,-0.58,0.64
0.629,-0.08,-0.04,0.70,-0.11,-0.58,0.64
0.63,-0.08,-0.04,0.70,-0.05,-0.51,0.98
0.631,0.00,-0.06,0.72,-0.05,-0.51,0.98
0.632,0.00,-0.06,0.72,0.21,-0.50,1.14
0.633,0.00,-0.06,0.72,0.55,-0.47,1.20
0.633,0.10,-0.14,0.72,0.55,-0.47,1.20
0.637,0.19,-0.24,0.70,0.55,-0.47,1.20
0.639,0.19,-0.24,0.70,0.92,-0.41,1.08
0.642,0.29,-0.35,0.66,0.92,-0.41,1.08
0.643,0.29,-0.35,0.66,1.25,-0.37,0.78
0.648,0.29,-0.35,0.66,1.51,-0.39,0.43
0.65,0.37,-0.46,0.60,1.51,-0.39,0.43
0.653,0.37,-0.46,0.60,1.70,-0.35,0.06
0.654,0.43,-0.57,0.53,1.70,-0.35,0.06
0.658,0.43,-0.57,0.53,1.84,-0.28,-0.23
0.659,0.47,-0.69,0.46,1.84,-0.28,-0.23
0.664,0.49,-0.83,0.37,1.84,-0.28,-0.23
0.666,0.49,-0.83,0.37,1.82,-0.16,-0.48
0.668,0.49,-0.99,0.29,1.82,-0.16,-0.48
0.669,0.49,-0.99,0.29,1.76,-0.04,-0.68
0.673,0.49,-1.14,0.20,1.76,-0.04,-0.68
0.674,0.49,-1.14,0.20,1.67,0.11,-0.79
0.678,0.49,-1.30,0.11,1.67,0.11,-0.79
0.679,0.49,-1.30,0.11,1.48,0.28,-0.83
0.683,0.49,-1.30,0.11,1.32,0.37,-0.83
0.685,0.50,-1.47,0.04,1.32,0.37,-0.83
0.688,0.50,-1.47,0.04,1.20,0.38,-0.76
0.689,0.51,-1.66,-0.04,1.20,0.38,-0.76
0.693,0.52,-1.85,-0.11,1.20,0.38,-0.76
0.694,0.52,-1.85,-0.11,1.07,0.38,-0.73
0.698,0.53,-2.02,-0.17,1.07,0.38,-0.73
0.7,0.53,-2.02,-0.17,0.95,0.26,-0.71
0.704,0.52,-2.19,-0.23,0.95,0.26,-0.71
0.705,0.52,-2.19,-0.23,0.91,0.15,-0.76
0.71,0.52,-2.19,-0.23,0.52,0.14,-0.90
0.711,0.52,-2.35,-0.28,0.52,0.14,-0.90
0.714,0.52,-2.35,-0.28,-1.15,0.45,-1.71
0.716,0.49,-2.47,-0.30,-1.15,0.45,-1.71
0.719,0.42,-2.50,-0.23,-1.15,0.45,-1.71
0.72,0.42,-2.50,-0.23,-3.27,0.94,-2.55
0.723,0.32,-2.46,-0.05,-3.27,0.94,-2.55
0.724,0.32,-2.46,-0.05,-4.53,1.19,-3.01
0.729,0.32,-2.46,-0.05,-4.13,1.04,-3.06
0.73,0.19,-2.32,0.17,-4.13,1.04,-3.06
0.742,0.06,-2.14,0.38,-4.13,1.04,-3.06
0.744,0.06,-2.14,0.38,-2.56,0.48,-2.49
0.745,0.06,-2.14,0.38,-0.68,-0.24,-1.49
0.746,-0.05,-1.98,0.50,-0.68,-0.24,-1.49
0.762,-0.12,-1.86,0.53,-0.68,-0.24,-1.49
0.765,-0.12,-1.86,0.53,0.73,-0.60,-0.75
0.766,-0.12,-1.86,0.53,1.20,-0.53,-0.41
0.768,-0.16,-1.76,0.50,1.20,-0.53,-0.41
0.769,-0.16,-1.76,0.50,0.78,-0.30,-0.21
0.77,-0.17,-1.67,0.47,0.78,-0.30,-0.21
0.771,-0.16,-1.58,0.46,0.78,-0.30,-0.21
0.772,-0.16,-1.58,0.46,0.18,-0.10,-0.19
0.774,-0.16,-1.58,0.46,-0.19,-0.03,-0.37
0.775,-0.15,-1.51,0.48,-0.19,-0.03,-0.37
0.776,-0.15,-1.51,0.48,-0.28,-0.09,-0.59
0.776,-0.14,-1.46,0.51,-0.28,-0.09,-0.59
0.777,-0.14,-1.41,0.55,-0.28,-0.09,-0.59
0.778,-0.14,-1.41,0.55,-0.24,-0.08,-0.75
0.779,-0.14,-1.39,0.58,-0.24,-0.08,-0.75
0.78,-0.14,-1.39,0.58,-0.20,-0.09,-0.80
0.791,-0.14,-1.39,0.58,-0.15,-0.13,-0.91
0.792,-0.14,-1.41,0.59,-0.15,-0.13,-0.91
0.793,-0.15,-1.44,0.61,-0.15,-0.13,-0.91
0.794,-0.15,-1.44,0.61,-0.06,-0.21,-1.03
0.795,-0.15,-1.44,0.61,0.09,-0.24,-1.12
0.796,-0.16,-1.50,0.63,0.09,-0.24,-1.12
0.798,-0.17,-1.60,0.65,0.09,-0.24,-1.12
0.8,-0.17,-1.60,0.65,0.19,-0.28,-1.16
0.805,-0.18,-1.75,0.68,0.19,-0.28,-1.16
0.806,-0.18,-1.75,0.68,0.21,-0.21,-1.11
0.809,-0.18,-1.75,0.68,0.18,-0.16,-1.02
0.81,-0.20,-1.90,0.71,0.18,-0.16,-1.02
0.814,-0.23,-2.05,0.73,0.18,-0.16,-1.02
0.815,-0.23,-2.05,0.73,0.18,-0.09,-0.90
0.819,-0.23,-2.05,0.73,0.23,-0.00,-0.77
0.82,-0.26,-2.19,0.73,0.23,-0.00,-0.77
0.824,-0.26,-2.19,0.73,-0.06,0.02,-0.09
0.825,-0.29,-2.29,0.73,-0.06,0.02,-0.09
0.83,-0.29,-2.29,0.73,-0.46,0.07,0.78
0.832,-0.27,-2.24,0.74,-0.46,0.07,0.78
0.834,-0.27,-2.24,0.74,0.06,0.18,0.04
0.835,-0.22,-2.08,0.75,0.06,0.18,0.04
0.839,-0.22,-2.08,0.75,0.38,0.11,-0.20
0.84,-0.21,-1.94,0.74,0.38,0.11,-0.20
0.845,-0.22,-1.77,0.70,0.38,0.11,-0.20
0.847,-0.22,-1.77,0.70,0.25,-0.05,0.51
0.85,-0.22,-1.77,0.70,0.14,-0.11,1.02
0.852,-0.21,-1.54,0.64,0.14,-0.11,1.02
0.855,-0.21,-1.54,0.64,0.20,-0.08,1.02
0.856,-0.19,-1.33,0.58,0.20,-0.08,1.02
0.86,-0.19,-1.12,0.52,0.20,-0.08,1.02
0.862,-0.19,-1.12,0.52,0.27,-0.09,0.97
0.867,-0.18,-0.91,0.46,0.27,-0.09,0.97
0.87,-0.18,-0.91,0.46,0.23,-0.15,0.99
0.871,-0.18,-0.91,0.46,0.14,-0.20,1.04
0.872,-0.17,-0.69,0.41,0.14,-0.20,1.04
0.874,-0.17,-0.53,0.37,0.14,-0.20,1.04
0.875,-0.17,-0.53,0.37,0.11,-0.23,1.08
0.879,-0.17,-0.53,0.37,0.10,-0.22,1.12
0.88,-0.17,-0.42,0.34,0.10,-0.22,1.12
0.885,-0.17,-0.36,0.31,0.10,-0.22,1.12
0.887,-0.17,-0.36,0.31,-0.07,-0.28,1.13
0.889,-0.17,-0.33,0.29,-0.07,-0.28,1.13
0.89,-0.17,-0.33,0.29,-0.29,-0.28,1.07
0.895,-0.17,-0.33,0.29,-0.37,-0.25,1.00
0.896,-0.17,-0.30,0.29,-0.37,-0.25,1.00
0.905,-0.17,-0.26,0.30,-0.37,-0.25,1.00
0.907,-0.17,-0.26,0.30,-0.41,-0.23,0.91
0.908,-0.17,-0.26,0.30,-0.57,-0.19,0.79
0.912,-0.17,-0.22,0.31,-0.57,-0.19,0.79
0.913,-0.17,-0.22,0.31,-0.64,-0.15,0.67
0.914,-0.17,-0.17,0.34,-0.64,-0.15,0.67
0.921,-0.18,-0.13,0.37,-0.64,-0.15,0.67
0.923,-0.18,-0.13,0.37,-0.67,-0.08,0.64
0.925,-0.18,-0.10,0.41,-0.67,-0.08,0.64
0.926,-0.18,-0.10,0.41,-0.70,-0.01,0.58
0.927,-0.18,-0.10,0.41,-0.73,0.00,0.51
0.929,-0.18,-0.09,0.44,-0.73,0.00,0.51
0.933,-0.17,-0.09,0.48,-0.73,0.00,0.51
0.935,-0.17,-0.09,0.48,-0.74,0.06,0.48
0.936,-0.17,-0.09,0.48,-0.77,0.11,0.47
0.938,-0.16,-0.10,0.51,-0.77,0.11,0.47
0.94,-0.15,-0.12,0.55,-0.77,0.11,0.47
0.941,-0.15,-0.12,0.55,-0.78,0.12,0.41
0.945,-0.13,-0.15,0.58,-0.78,0.12,0.41
0.946,-0.13,-0.15,0.58,-0.75,0.14,0.35
0.95,-0.13,-0.15,0.58,-0.67,0.14,0.31
0.951,-0.11,-0.18,0.60,-0.67,0.14,0.31
0.955,-0.11,-0.18,0.60,-0.53,0.22,0.27
0.956,-0.08,-0.20,0.63,-0.53,0.22,0.27
0.96,-0.04,-0.23,0.65,-0.53,0.22,0.27
0.961,-0.04,-0.23,0.65,-0.43,0.33,0.26
0.965,-0.00,-0.25,0.66,-0.43,0.33,0.26
0.967,-0.00,-0.25,0.66,-0.34,0.41,0.29
0.97,0.04,-0.27,0.65,-0.34,0.41,0.29
0.971,0.04,-0.27,0.65,-0.20,0.50,0.25
0.975,0.04,-0.27,0.65,-0.05,0.58,0.14
0.976,0.09,-0.29,0.64,-0.05,0.58,0.14
0.981,0.13,-0.30,0.61,-0.05,0.58,0.14
0.983,0.13,-0.30,0.61,0.11,0.64,0.04
0.985,0.16,-0.30,0.57,0.11,0.64,0.04
0.986,0.16,-0.30,0.57,0.15,0.68,-0.10
0.99,0.16,-0.30,0.57,0.10,0.70,-0.29
0.991,0.18,-0.30,0.54,0.10,0.70,-0.29
1.003,0.19,-0.30,0.51,0.10,0.70,-0.29
1.004,0.19,-0.30,0.51,0.14,0.73,-0.39
1.007,0.19,-0.31,0.51,0.14,0.73,-0.39
1.007,0.19,-0.31,0.51,0.17,0.73,-0.69
1.008,0.19,-0.31,0.51,0.35,0.71,-1.07
1.009,0.14,-0.26,0.52,0.35,0.71,-1.07
1.01,0.14,-0.26,0.52,0.43,0.65,-0.78
1.012,0.07,-0.18,0.52,0.43,0.65,-0.78
1.016,0.04,-0.16,0.50,0.43,0.65,-0.78
1.017,0.04,-0.16,0.50,0.33,0.73,-0.41
1.02,0.04,-0.13,0.49,0.33,0.73,-0.41
1.021,0.04,-0.13,0.49,0.51,0.79,-0.33
1.025,0.04,-0.06,0.48,0.51,0.79,-0.33
1.026,0.04,-0.06,0.48,0.72,0.79,-0.31
1.036,0.02,-0.02,0.46,0.72,0.79,-0.31
1.037,0.02,-0.02,0.46,0.66,0.79,-0.19
1.039,0.02,-0.06,0.44,0.66,0.79,-0.19
1.04,0.02,-0.06,0.44,0.51,0.80,-0.09
1.041,0.02,-0.06,0.44,0.53,0.91,-0.04
1.042,0.05,-0.10,0.41,0.53,0.91,-0.04
1.048,0.10,-0.10,0.38,0.53,0.91,-0.04
1.05,0.10,-0.10,0.38,0.59,0.94,-0.11
1.051,0.10,-0.10,0.38,0.58,0.93,-0.17
1.051,0.13,-0.10,0.35,0.58,0.93,-0.17
1.057,0.13,-0.12,0.32,0.58,0.93,-0.17
1.057,0.13,-0.12,0.32,0.47,0.88,-0.25
1.061,0.12,-0.15,0.28,0.47,0.88,-0.25
1.062,0.12,-0.15,0.28,0.45,0.89,-0.34
1.065,0.12,-0.15,0.28,0.44,0.85,-0.30
1.067,0.11,-0.17,0.25,0.44,0.85,-0.30
1.071,0.10,-0.16,0.22,0.44,0.85,-0.30
1.072,0.10,-0.16,0.22,0.34,0.85,-0.28
1.076,0.09,-0.15,0.20,0.34,0.85,-0.28
1.077,0.09,-0.15,0.20,0.22,0.83,-0.19
1.081,0.09,-0.15,0.20,0.21,0.78,-0.12
1.084,0.08,-0.13,0.18,0.21,0.78,-0.12
1.085,0.07,-0.12,0.16,0.21,0.78,-0.12
1.086,0.07,-0.12,0.16,0.20,0.74,0.02
1.091,0.07,-0.12,0.16,0.14,0.69,0.17
1.092,0.06,-0.11,0.14,0.14,0.69,0.17
1.096,0.06,-0.11,0.14,0.08,0.63,0.30
1.098,0.05,-0.09,0.12,0.08,0.63,0.30
1.1,0.05,-0.06,0.10,0.08,0.63,0.30
1.101,0.05,-0.06,0.10,-0.03,0.56,0.41
1.106,0.05,-0.06,0.10,-0.09,0.48,0.51
1.107,0.05,-0.04,0.09,-0.09,0.48,0.51
1.111,0.06,-0.02,0.09,-0.09,0.48,0.51
1.112,0.06,-0.02,0.09,-0.12,0.41,0.55
1.116,0.06,-0.02,0.09,-0.16,0.37,0.56
1.117,0.06,0.01,0.09,-0.16,0.37,0.56
1.121,0.06,0.01,0.09,-0.20,0.34,0.57
1.122,0.06,0.03,0.09,-0.20,0.34,0.57
