
time,wx,wy,wz,ax,ay,az
0.01,0.15,-0.10,0.18,0.03,-0.13,-1.24
0.011,0.15,-0.10,0.18,0.07,-0.09,-1.23
0.013,0.08,-0.10,0.18,0.07,-0.09,-1.23
0.014,0.08,-0.10,0.18,0.18,-0.06,-1.10
0.014,0.01,-0.09,0.17,0.18,-0.06,-1.10
0.015,0.01,-0.09,0.17,0.27,-0.05,-0.97
0.016,0.01,-0.09,0.17,0.31,-0.08,-0.78
0.016,-0.05,-0.09,0.16,0.31,-0.08,-0.78
0.017,-0.10,-0.09,0.15,0.31,-0.08,-0.78
0.018,-0.10,-0.09,0.15,0.36,-0.04,-0.57
0.019,-0.12,-0.08,0.13,0.36,-0.04,-0.57
0.019,-0.12,-0.08,0.13,0.38,-0.06,-0.33
0.02,-0.13,-0.08,0.12,0.38,-0.06,-0.33
0.021,-0.13,-0.08,0.12,0.40,-0.05,-0.07
0.028,-0.13,-0.08,0.12,0.41,-0.05,0.12
0.029,-0.13,-0.07,0.10,0.41,-0.05,0.12
0.03,-0.11,-0.07,0.09,0.41,-0.05,0.12
0.031,-0.11,-0.07,0.09,0.40,-0.07,0.27
0.039,-0.09,-0.05,0.08,0.40,-0.07,0.27
0.04,-0.09,-0.05,0.08,0.36,-0.04,0.37
0.041,-0.06,-0.04,0.07,0.36,-0.04,0.37
0.042,-0.06,-0.04,0.07,0.36,-0.06,0.38
0.044,-0.02,-0.03,0.06,0.36,-0.06,0.38
0.046,-0.02,-0.03,0.06,0.36,-0.04,0.32
0.048,0.00,-0.02,0.06,0.36,-0.04,0.32
0.049,0.00,-0.02,0.06,0.36,-0.07,0.17
0.06,0.03,-0.02,0.06,0.36,-0.07,0.17
0.062,0.03,-0.02,0.06,0.32,-0.07,0.13
0.064,0.04,-0.02,0.06,0.32,-0.07,0.13
0.065,0.04,-0.02,0.06,0.24,-0.05,0.09
0.066,0.04,-0.02,0.06,0.24,-0.06,0.02
0.066,0.06,-0.02,0.06,0.24,-0.06,0.02
0.07,0.07,-0.02,0.06,0.24,-0.06,0.02
0.072,0.07,-0.02,0.06,0.25,-0.06,-0.03
0.074,0.08,-0.01,0.05,0.25,-0.06,-0.03
0.075,0.08,-0.01,0.05,0.29,-0.05,-0.12
0.085,0.09,-0.01,0.04,0.29,-0.05,-0.12
0.087,0.09,-0.01,0.04,0.29,-0.06,-0.20
0.088,0.08,-0.02,0.03,0.29,-0.06,-0.20
0.089,0.08,-0.02,0.03,0.28,-0.08,-0.23
0.09,0.08,-0.02,0.03,0.25,-0.07,-0.20
0.091,0.08,-0.02,0.02,0.25,-0.07,-0.20
0.094,0.08,-0.02,0.02,0.21,-0.09,-0.21
0.095,0.07,-0.03,0.02,0.21,-0.09,-0.21
0.099,0.07,-0.03,0.02,0.17,-0.07,-0.14
0.101,0.07,-0.04,0.01,0.17,-0.07,-0.14
0.104,0.07,-0.05,0.01,0.17,-0.07,-0.14
0.105,0.07,-0.05,0.01,0.13,-0.09,-0.07
0.109,0.07,-0.05,0.01,0.14,-0.09,-0.00
0.109,0.07,-0.06,0.01,0.14,-0.09,-0.00
0.116,0.07,-0.06,0.01,0.16,-0.10,0.03
0.117,0.09,-0.06,0.01,0.16,-0.10,0.03
0.119,0.10,-0.05,-0.00,0.16,-0.10,0.03
0.119,0.10,-0.05,-0.00,0.21,-0.09,0.05
0.124,0.11,-0.04,-0.01,0.21,-0.09,0.05
0.125,0.11,-0.04,-0.01,0.18,-0.14,0.06
0.131,0.11,-0.04,-0.01,0.12,-0.19,0.06
0.132,0.13,-0.03,-0.01,0.12,-0.19,0.06
0.134,0.13,-0.03,-0.01,0.06,-0.16,0.09
0.135,0.14,-0.01,-0.01,0.06,-0.16,0.09
0.139,0.14,-0.01,-0.01,0.03,-0.17,0.06
0.14,0.14,0.00,-0.01,0.03,-0.17,0.06
0.144,0.14,0.00,-0.01,-0.02,-0.16,0.07
0.145,0.14,0.02,-0.00,-0.02,-0.16,0.07
0.149,0.15,0.03,0.00,-0.02,-0.16,0.07
0.15,0.15,0.03,0.00,-0.01,-0.15,0.11
0.155,0.15,0.03,0.00,0.02,-0.15,0.12
0.156,0.14,0.03,0.00,0.02,-0.15,0.12
0.159,0.14,0.03,0.00,0.01,-0.11,0.16
0.16,0.14,0.04,-0.00,0.01,-0.11,0.16
0.165,0.14,0.04,-0.00,-0.01,-0.07,0.24
0.167,0.15,0.04,-0.01,-0.01,-0.07,0.24
0.169,0.15,0.03,-0.02,-0.01,-0.07,0.24
0.171,0.15,0.03,-0.02,0.03,0.01,0.35
0.175,0.15,0.01,-0.05,0.03,0.01,0.35
0.176,0.15,0.01,-0.05,0.10,0.04,0.42
0.181,0.15,0.00,-0.08,0.10,0.04,0.42
0.183,0.15,0.00,-0.08,0.12,0.03,0.51
0.184,0.14,0.00,-0.11,0.12,0.03,0.51
0.185,0.14,0.00,-0.11,0.10,-0.01,0.61
0.189,0.14,0.00,-0.11,0.03,-0.04,0.70
0.19,0.15,0.03,-0.15,0.03,-0.04,0.70
0.194,0.15,0.03,-0.15,0.03,-0.04,0.84
