
time,ax,ay,az,wx,wy,wz
0.046023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.046350,0.0000,0.0000,0.0000,-0.0458,0.1196,-0.0610
0.046658,-0.4189,0.0378,-0.7218,-0.0458,0.1196,-0.0610
0.046959,-0.4189,0.0378,-0.7218,-0.0458,0.1196,-0.0610
0.047185,-0.4189,0.0378,-0.7218,-0.0421,0.1367,-0.0573
0.047392,-0.5217,0.0739,-0.6977,-0.0421,0.1367,-0.0573
0.047615,-0.5217,0.0739,-0.6977,-0.0421,0.1367,-0.0573
0.047832,-0.5217,0.0739,-0.6977,-0.0396,0.1514,-0.0525
0.048117,-0.5738,0.1098,-0.6285,-0.0396,0.1514,-0.0525
0.048357,-0.5738,0.1098,-0.6285,-0.0396,0.1514,-0.0525
0.048570,-0.5738,0.1098,-0.6285,-0.0348,0.1622,-0.0452
0.048796,-0.6194,0.1165,-0.6182,-0.0348,0.1622,-0.0452
0.049054,-0.6194,0.1165,-0.6182,-0.0348,0.1622,-0.0452
0.049319,-0.6194,0.1165,-0.6182,-0.0298,0.1709,-0.0366
0.049596,-0.5989,0.1061,-0.5609,-0.0298,0.1709,-0.0366
0.049837,-0.5989,0.1061,-0.5609,-0.0298,0.1709,-0.0366
0.050043,-0.5989,0.1061,-0.5609,-0.0238,0.1782,-0.0268
0.050251,-0.5872,0.1055,-0.5295,-0.0238,0.1782,-0.0268
0.050473,-0.5872,0.1055,-0.5295,-0.0238,0.1782,-0.0268
0.050708,-0.5872,0.1055,-0.5295,-0.0164,0.1880,-0.0195
0.050922,-0.5781,0.0760,-0.4762,-0.0164,0.1880,-0.0195
0.051151,-0.5781,0.0760,-0.4762,-0.0164,0.1880,-0.0195
0.051385,-0.5781,0.0760,-0.4762,-0.0078,0.1965,-0.0110
0.051598,-0.5917,0.0901,-0.4497,-0.0078,0.1965,-0.0110
0.051814,-0.5917,0.0901,-0.4497,-0.0078,0.1965,-0.0110
0.052021,-0.5917,0.0901,-0.4497,0.0019,0.2075,-0.0037
0.052319,-0.5674,0.0552,-0.4512,0.0019,0.2075,-0.0037
0.052544,-0.5674,0.0552,-0.4512,0.0019,0.2075,-0.0037
0.052779,-0.5674,0.0552,-0.4512,0.0117,0.2197,0.0037
0.052995,-0.5489,0.0024,-0.4217,0.0117,0.2197,0.0037
0.053219,-0.5489,0.0024,-0.4217,0.0117,0.2197,0.0037
0.053424,-0.5501,-0.0033,-0.3904,0.0117,0.2197,0.0037
0.053638,-0.5501,-0.0033,-0.3904,0.0227,0.2295,0.0098
0.053852,-0.5501,-0.0033,-0.3904,0.0227,0.2295,0.0098
0.054068,-0.5501,-0.0033,-0.3904,0.0300,0.2417,0.0135
0.054281,-0.5559,-0.0238,-0.3755,0.0300,0.2417,0.0135
0.054497,-0.5559,-0.0238,-0.3755,0.0300,0.2417,0.0135
0.054723,-0.5559,-0.0238,-0.3755,0.0410,0.2478,0.0208
0.054933,-0.5645,-0.0422,-0.3678,0.0410,0.2478,0.0208
0.055148,-0.5645,-0.0422,-0.3678,0.0410,0.2478,0.0208
0.055354,-0.5645,-0.0422,-0.3678,0.0495,0.2575,0.0245
0.055552,-0.5472,-0.0726,-0.3741,0.0495,0.2575,0.0245
0.055777,-0.5472,-0.0726,-0.3741,0.0495,0.2575,0.0245
