
time,wx,wy,wz,ax,ay,az
0.28,0.07,-0.12,-0.13,-0.09,-0.02,-0.17
0.281,0.05,-0.12,-0.12,-0.09,-0.02,-0.17
0.282,0.05,-0.12,-0.12,-0.13,-0.06,-0.16
0.283,0.05,-0.12,-0.12,-0.12,-0.08,-0.16
0.284,0.04,-0.11,-0.11,-0.12,-0.08,-0.16
0.285,0.02,-0.11,-0.11,-0.12,-0.08,-0.16
0.286,0.02,-0.11,-0.11,-0.15,-0.07,-0.15
0.287,0.01,-0.11,-0.10,-0.15,-0.07,-0.15
0.288,0.01,-0.11,-0.10,-0.16,-0.07,-0.13
0.289,0.01,-0.12,-0.09,-0.16,-0.07,-0.13
0.29,0.01,-0.12,-0.09,-0.13,-0.09,-0.11
0.291,-0.00,-0.12,-0.08,-0.13,-0.09,-0.11
0.292,-0.00,-0.12,-0.08,-0.10,-0.10,-0.14
0.294,-0.00,-0.12,-0.08,-0.08,-0.11,-0.15
0.295,-0.01,-0.12,-0.07,-0.08,-0.11,-0.15
0.296,-0.01,-0.12,-0.06,-0.08,-0.11,-0.15
0.298,-0.01,-0.12,-0.06,-0.06,-0.13,-0.14
0.299,-0.01,-0.12,-0.06,-0.07,-0.09,-0.11
0.3,-0.00,-0.13,-0.05,-0.07,-0.09,-0.11
0.301,-0.00,-0.13,-0.05,-0.00,-0.06,-0.16
0.303,0.01,-0.13,-0.05,-0.00,-0.06,-0.16
0.304,0.02,-0.13,-0.04,-0.00,-0.06,-0.16
0.305,0.02,-0.13,-0.04,0.03,-0.06,-0.19
0.306,0.03,-0.13,-0.04,0.03,-0.06,-0.19
0.308,0.03,-0.13,-0.04,0.07,-0.05,-0.19
0.309,0.04,-0.13,-0.05,0.07,-0.05,-0.19
0.311,0.04,-0.13,-0.05,0.10,-0.06,-0.21
0.318,0.04,-0.13,-0.06,0.10,-0.06,-0.21
0.32,0.04,-0.13,-0.06,0.12,-0.02,-0.29
0.32,0.04,-0.13,-0.06,0.10,-0.00,-0.30
0.321,0.04,-0.13,-0.07,0.10,-0.00,-0.30
0.323,0.04,-0.13,-0.08,0.10,-0.00,-0.30
0.324,0.04,-0.13,-0.08,0.10,-0.02,-0.37
0.328,0.04,-0.13,-0.08,0.08,0.02,-0.41
0.329,0.04,-0.13,-0.09,0.08,0.02,-0.41
0.333,0.04,-0.13,-0.09,0.05,0.01,-0.45
0.334,0.02,-0.14,-0.09,0.05,0.01,-0.45
0.338,0.02,-0.14,-0.09,0.00,0.01,-0.49
0.339,0.01,-0.15,-0.10,0.00,0.01,-0.49
0.351,0.01,-0.15,-0.10,-0.05,0.02,-0.49
0.352,-0.01,-0.16,-0.11,-0.05,0.02,-0.49
0.353,-0.01,-0.16,-0.11,-0.15,0.02,-0.45
0.353,-0.03,-0.18,-0.11,-0.15,0.02,-0.45
0.354,-0.03,-0.18,-0.11,-0.17,0.03,-0.42
0.354,-0.05,-0.20,-0.11,-0.17,0.03,-0.42
0.358,-0.05,-0.20,-0.11,-0.19,0.04,-0.36
0.36,-0.07,-0.23,-0.10,-0.19,0.04,-0.36
0.363,-0.07,-0.23,-0.10,-0.21,0.04,-0.31
0.364,-0.10,-0.25,-0.10,-0.21,0.04,-0.31
0.368,-0.11,-0.27,-0.09,-0.21,0.04,-0.31
0.369,-0.11,-0.27,-0.09,-0.18,0.04,-0.19
0.375,-0.12,-0.28,-0.09,-0.18,0.04,-0.19
0.377,-0.12,-0.28,-0.09,-0.18,0.03,-0.09
0.378,-0.13,-0.30,-0.09,-0.18,0.03,-0.09
0.379,-0.13,-0.30,-0.09,-0.19,0.08,0.01
0.383,-0.13,-0.30,-0.09,-0.18,0.10,0.18
0.384,-0.13,-0.32,-0.09,-0.18,0.10,0.18
0.388,-0.12,-0.33,-0.09,-0.18,0.10,0.18
0.389,-0.12,-0.33,-0.09,-0.17,0.10,0.22
0.393,-0.12,-0.34,-0.09,-0.17,0.10,0.22
0.395,-0.12,-0.34,-0.09,-0.19,0.10,0.30
0.4,-0.12,-0.34,-0.09,-0.21,0.10,0.36
0.401,-0.11,-0.33,-0.09,-0.21,0.10,0.36
0.404,-0.10,-0.32,-0.10,-0.21,0.10,0.36
0.405,-0.10,-0.32,-0.10,-0.15,0.10,0.47
0.41,-0.09,-0.31,-0.10,-0.15,0.10,0.47
0.411,-0.09,-0.31,-0.10,-0.14,0.10,0.52
0.414,-0.08,-0.29,-0.11,-0.14,0.10,0.52
0.415,-0.08,-0.29,-0.11,-0.18,0.10,0.58
0.419,-0.08,-0.29,-0.11,-0.18,0.09,0.60
0.42,-0.07,-0.28,-0.12,-0.18,0.09,0.60
0.426,-0.07,-0.28,-0.12,-0.16,0.15,0.60
0.427,-0.07,-0.26,-0.12,-0.16,0.15,0.60
0.429,-0.07,-0.26,-0.12,-0.21,0.18,0.57
0.43,-0.06,-0.23,-0.13,-0.21,0.18,0.57
0.434,-0.06,-0.23,-0.13,-0.21,0.16,0.54
0.435,-0.06,-0.20,-0.13,-0.21,0.16,0.54
0.439,-0.06,-0.20,-0.13,-0.18,0.13,0.50
0.44,-0.06,-0.17,-0.14,-0.18,0.13,0.50
0.444,-0.06,-0.13,-0.14,-0.18,0.13,0.50
0.446,-0.06,-0.13,-0.14,-0.18,0.14,0.45
0.449,-0.07,-0.09,-0.14,-0.18,0.14,0.45
0.45,-0.07,-0.09,-0.14,-0.19,0.15,0.42
